PARCEL_NO,ParcelNo
9  16999-7000,09 16999-7000
22 1841.,22001841.
9  16534-7,09 16534-7
16 13294.,16013294.
16 5565.,16005565.
15 12236.001,15012236.001
22 5613.,22005613.
20 2518-0,20002518-0
21 61002.,21061002.
22 48745.,22048745.
18 17942.,18017942.
2  3101.,020 3101.
21 26242.,21026242.
21 78603.,21078603.
22 51750.,22051750.
13 4811.,13004811.
2  5308.,020 5308.
21 62746.,21062746.
21 75609.,21075609.
22 91229.,22091229.
2  660.,0200 660.
21 18328.,21018328.
22 120260.,22120260.
22 73935-8,22073935-8
3  242-3,0300 242-3
22 27924.,22027924.
21 32505.,21032505.
22 124787-8,22124787-8
22 118335.,22118335.
16 42668.,16042668.
17 16030.002L,17016030.002L
16 21610.,16021610.
21 58218.,21058218.
20 7463.,20007463.
16 23046.,16023046.
9  17970.,09 17970.
22 30536.,22030536.
20 1237.,20001237.
1  4377.,010 4377.
22 115370.007,22115370.007
9  16240.001,09 16240.001
4  2387.,040 2387.
21 4531-2,21004531-2
9  20671-2,09 20671-2
21 79069.,21079069.
21 51870-1,21051870-1
22 89838.003,22089838.003
21 64273.,21064273.
5  3487.,050 3487.
20 3027.,20003027.
21 6680.,21006680.
22 59022.,22059022.
1  9309.,010 9309.
22 77431.,22077431.
1  9481.,010 9481.
22 117906.038,22117906.038
22 49351.,22049351.
17 6347.,17006347.
22 85418.,22085418.
2  3124.,020 3124.
22 24840.,22024840.
21 67350.,21067350.
21 40576.,21040576.
12 10420.,12010420.
3  3196-236,030 3196-236
22 71246.,22071246.
22 98667.,22098667.
21 22148.,21022148.
9  7337.,090 7337.
20 10251.,20010251.
21 2400.,21002400.
22 38094.035,22038094.035
20 15114-22,20015114-22
21 55601.001,21055601.001
22 82513.,22082513.
21 42128.,21042128.
16 14339.,16014339.
22 116175.,22116175.
16 10337.,16010337.
22 58802.,22058802.
2  2014.,020 2014.
9  10578.,09 10578.
21 10264.,21010264.
8  764.,0800 764.
15 8313.,15008313.
13 23907.,13023907.
21 25817.,21025817.
21 22226.,21022226.
21 66904.,21066904.
13 24029-30,13024029-30
22 82141.,22082141.
22 72090.,22072090.
22 33292.,22033292.
22 118702-4,22118702-4
22 122301.,22122301.
16 25836.,16025836.
22 22847.,22022847.
2  95-118,02000 95-118
22 11979-83,22011979-83
22 107499-500,22107499-500
10 4725-7,10004725-7
22 125791.,22125791.
16 31386.,16031386.
22 55452.,22055452.
13 17447-8,13017447-8
18 17956.,18017956.
22 8425.,22008425.
22 62869.,22062869.
21 12469.,21012469.
22 61247.,22061247.
16 10004.,16010004.
21 14488.,21014488.
21 23386.,21023386.
13 4574.,13004574.
20 13758.002,20013758.002
22 63859.,22063859.
22 2805-6,22002805-6
19 6436.,19006436.
2  2017-8,020 2017-8
22 36083.,22036083.
16 42852.,16042852.
21 13227.,21013227.
21 78848.,21078848.
21 68678.,21068678.
11 3591.,11003591.
1  7883.,010 7883.
22 28514.,22028514.
22 99381.014,22099381.014
17 11349.,17011349.
1  004106-9,PARCEL FORMAT ERROR
2  4040.,020 4040.
22 54567-8,22054567-8
18 14148.001,18014148.001
1  4400-2,010 4400-2
22 40891.,22040891.
22 90208.,22090208.
2  5206.002L,020 5206.002L
18 17969-70,18017969-70
22 115404.,22115404.
17 9103.,17009103.
10 2606.,10002606.
22 79747.,22079747.
20 15437.,20015437.
1  4087-97,010 4087-97
21 21483.,21021483.
13 20019.,13020019.
2  5623.,020 5623.
21 66126.,21066126.
1  4282.,010 4282.
22 86548.,22086548.
22 25580.,22025580.
22 80620.,22080620.
2  4729.,020 4729.
16 45338.,16045338.
22 11465.,22011465.
13 130.,13000130.
16 22679.,16022679.
12 4628.,12004628.
15 4537.,15004537.
15 5041.,15005041.
21 40554.,21040554.
21 70325.,21070325.
22 17570.,22017570.
15 12239-45,15012239-45
16 43142.,16043142.
15 11114.,15011114.
21 48490.,21048490.
16 44018.,16044018.
20 12971.,20012971.
15 2525.003,15002525.003
18 15554.,18015554.
22 49840-2,22049840-2
2  6179.,020 6179.
22 6674-84,22006674-84
22 47663.,22047663.
12 10226.,12010226.
20 6155-6,20006155-6
21 6957.,21006957.
1  1104.,010 1104.
12 12033.,12012033.
21 75845.,21075845.
21 16674.,21016674.
17 16350.,17016350.
22 29142.,22029142.
20 78.001,20000078.001
8  1204.,080 1204.
22 102607.,22102607.
22 97661.,22097661.
16 35764.,16035764.
17 16059-60,17016059-60
16 11477.,16011477.
18 1529.,18001529.
10 1261.,10001261.
19 8763.,19008763.
12 11149.,12011149.
2  142-3,0200 142-3
17 13557.,17013557.
22 22413.,22022413.
22 62813.,22062813.
1  4002.,010 4002.
20 2372.,20002372.
16 39810.,16039810.
22 87281.,22087281.
12 9479.,12009479.
16 8350.,16008350.
1  889-983,0100 889-983
12 11790.,12011790.
16 42314.,16042314.
22 18480.004,22018480.004
22 35326.,22035326.
1  1323.001,010 1323.001
21 30523.,21030523.
3  3171-82,030 3171-82
22 103454.,22103454.
17 10764.,17010764.
18 5141-52,18005141-52
22 74253-7,22074253-7
21 52098.,21052098.
18 15986-94,18015986-94
9  16500-1,09 16500-1
21 63686.005,21063686.005
9  1020-123,090 1020-123
21 28403-11,21028403-11
22 88934.,22088934.
22 66889.,22066889.
21 34197.,21034197.
17 19.,17000019.
10 8164.,10008164.
22 16204-6,22016204-6
2  353-4,0200 353-4
14 6096.,14006096.
22 752.,22000752.
22 17584.,22017584.
22 25510-11,22025510-11
2  2100.,020 2100.
12 11881.,12011881.
9  11489-91,09 11489-91
21 69312.,21069312.
21 25915.002,21025915.002
21 46634.,21046634.
13 16795.,13016795.
21 43325.,21043325.
2  1794.,020 1794.
22 125712.,22125712.
2  1875-6,020 1875-6
22 16822.,22016822.
2  4690.,020 4690.
6  6024-41,060 6024-41
20 16195.,20016195.
22 68843.,22068843.
1  1042.,010 1042.
21 52412.,21052412.
2  2955.,020 2955.
22 43634.,22043634.
21 14186.,21014186.
20 4309-11,20004309-11
22 107790-1,22107790-1
14 12928.,14012928.
17 1526.,17001526.
22 552-6,22000552-6
1  4190-201,010 4190-201
21 57856.,21057856.
21 74344.,21074344.
21 22721.,21022721.
22 86262.,22086262.
9  5810.,090 5810.
14 8315.,14008315.
22 64901.,22064901.
15 6095.,15006095.
16 22850.,16022850.
21 2957-61,21002957-61
21 14634.,21014634.
17 10709.,17010709.
20 16376.,20016376.
1  4357.,010 4357.
4  1615-6,040 1615-6
21 66470.,21066470.
22 33013.,22033013.
19 5284.,19005284.
22 24645.,22024645.
16 38291-4,16038291-4
22 31697.,22031697.
16 22842.,16022842.
16 20744.,16020744.
2 290.,02000290.
16 25716.001,16025716.001
13 7026.,13007026.
8  10575.,08 10575.
21 35189-204,21035189-204
13 15355.,13015355.
22 102181.009,22102181.009
18 3534.,18003534.
22 67194.,22067194.
12 323.,12000323.
22 18541.001,22018541.001
21 34515.,21034515.
2  886.006,0200 886.006
9  997.,0900 997.
20 16375.,20016375.
8  7223.,080 7223.
21 22896.,21022896.
21 12690.,21012690.
14 7374.,14007374.
21 75538.003,21075538.003
22 1862.,22001862.
16 33159.,16033159.
13 172-420,13000172-420
20 15949.,20015949.
16 40407.,16040407.
2  5049.,020 5049.
22 56831.,22056831.
13 18716.,13018716.
22 110770.,22110770.
15 9764.,15009764.
20 4532-4,20004532-4
16 40264.,16040264.
16 23164.,16023164.
22 27152.,22027152.
9  15246.,09 15246.
18 16251.,18016251.
22 98544.,22098544.
1  187.,0100 187.
21 23064.,21023064.
12 10423.,12010423.
22 8496.,22008496.
20 1591-2,20001591-2
21 65146.,21065146.
21 31240.,21031240.
22 7249-50,22007249-50
16 32917.,16032917.
22 42184.,22042184.
22 20010.,22020010.
13 8016.,13008016.
21 66536.,21066536.
22 65422.,22065422.
1  7963-8191,010 7963-8191
20 16368.,20016368.
22 63193.,22063193.
17 8931.,17008931.
21 2327.,21002327.
22 47780.,22047780.
17 10307.,17010307.
21 54847.,21054847.
21 14143.,21014143.
14 8844.,14008844.
21 392.,21000392.
1  5.002L,010000 5.002L
22 2317-8,22002317-8
2  194-5,0200 194-5
22 106010.,22106010.
18 1253.,18001253.
22 30610.002,22030610.002
22 109210.,22109210.
20 2546.,20002546.
22 22317.,22022317.
8  7227.,080 7227.
12 12724.,12012724.
22 99182.,22099182.
2  5285.,020 5285.
2  95-118,02000 95-118
18 9510.,18009510.
22 76759.,22076759.
22 112272.,22112272.
22 62171.,22062171.
16 46190-1,16046190-1
2  4757.,020 4757.
18 613.,18000613.
22 19031.002,22019031.002
1  4068-86,010 4068-86
22 123737.002L,22123737.002L
19 4468.,19004468.
10 1515.,10001515.
21 47237.,21047237.
22 18531.001,22018531.001
13 12325.,13012325.
3  3196-236,030 3196-236
20 9390.,20009390.
22 22924.,22022924.
4  1866-7,040 1866-7
22 125384.,22125384.
22 97765.,22097765.
20 13898.,20013898.
18 10418.,18010418.
16 7987.001,16007987.001
1  889-983,0100 889-983
22 2912.,22002912.
22 73803.,22073803.
13 8053.,13008053.
13 11630.,13011630.
9  16508-9,09 16508-9
1  1565.,010 1565.
22 108115-6,22108115-6
21 1765.,21001765.
20 6351.,20006351.
16 43321.,16043321.
1  7963-8191,010 7963-8191
22 881-5,22000881-5
5  3481.,050 3481.
22 83579-80,22083579-80
1  9519.,010 9519.
1  1525.001,010 1525.001
19 6893.,19006893.
5  5131.,050 5131.
3  1479-80,030 1479-80
22 39242-9,22039242-9
6  1.001,060000 1.001
20 13677.,20013677.
16 45517.,16045517.
22 69121.,22069121.
20 12825.,20012825.
7  1358-9,070 1358-9
20 10128.,20010128.
4  2245.,040 2245.
2  1214.,020 1214.
22 53502.,22053502.
22 36360.,22036360.
22 125495-6,22125495-6
18 17110.,18017110.
16 37594.,16037594.
20 712.,20000712.
21 6296.,21006296.
21 6174.,21006174.
22 81991.,22081991.
22 71715.,22071715.
16 30967.,16030967.
21 71856.,21071856.
21 12601.,21012601.
8  9937.,080 9937.
3  3240-60,030 3240-60
17 10738.002L,17010738.002L
2  5281.,020 5281.
22 2317-8,22002317-8
21 19039.,21019039.
15 12-3,15000012-3
22 48452.,22048452.
2  1796.,020 1796.
16 39900.,16039900.
16 8849.,16008849.
3  3183-95,030 3183-95
21 33624.,21033624.
15 2825.,15002825.
19 4682.,19004682.
16 32599.,16032599.
22 45181.,22045181.
17 15491.,17015491.
22 117993.,22117993.
20 17173.,20017173.
21 69497.,21069497.
22 118754.007,22118754.007
19 1993.,19001993.
6  4104.,060 4104.
16 39673.,16039673.
22 124271.,22124271.
20 5543-4,20005543-4
2  3985.,020 3985.
22 119913.,22119913.
22 113812.,22113812.
15 9498.,15009498.
21 57643.005,21057643.005
22 86567.001,22086567.001
21 66473.,21066473.
2  5620.,020 5620.
22 122519-21,22122519-21
17 14217.,17014217.
4  1731-2,040 1731-2
21 5224.,21005224.
16 9204.,16009204.
4  4000-11,040 4000-11
16 24363.,16024363.
16 38636.,16038636.
22 55948-9,22055948-9
9  16590-3,09 16590-3
22 14692.,22014692.
21 341.,21000341.
5  4.,050000 4.
21 23856.,21023856.
3  11.002L,03000 11.002L
20 5292.,20005292.
22 84733.,22084733.
8  4398.,080 4398.
1  4043-9,010 4043-9
2  712.,0200 712.
21 54721.,21054721.
22 29514.,22029514.
9  6049.,090 6049.
22 111908.,22111908.
16 22973.,16022973.
9  20254-5,09 20254-5
21 68592.033,21068592.033
21 56003.,21056003.
19 4282.,19004282.
22 19143-4,22019143-4
13 12624.,13012624.
22 18541.002,22018541.002
22 124430.,22124430.
22 27119.,22027119.
15 7453.,15007453.
15 5736.,15005736.
20 5563.,20005563.
22 50826-7,22050826-7
14 25.,14000025.
22 79326.,22079326.
15 14127-9,15014127-9
19 583.,19000583.
16 15313.,16015313.
9  16435-7,09 16435-7
1  7963-8191,010 7963-8191
13 12619.,13012619.
22 38767-70,22038767-70
22 108649.017,22108649.017
21 27133.,21027133.
20 8006.,20008006.
8  4645.,080 4645.
4  1652-8,040 1652-8
22 83371.,22083371.
21 36087.,21036087.
9  25029.,09 25029.
1  4068-86,010 4068-86
21 69770.,21069770.
13 15942.,13015942.
22 78036-7,22078036-7
20 15994.,20015994.
20 8827.,20008827.
22 122048.,22122048.
22 88612.,22088612.
13 23272.,13023272.
20 12984-5,20012984-5
18 888.,18000888.
21 49132.,21049132.
15 7539.,15007539.
14 7970.,14007970.
6  442-8,0600 442-8
21 59382.,21059382.
22 53677.,22053677.
22 37153.,22037153.
21 23156.,21023156.
16 7574-9,16007574-9
13 22389.,13022389.
22 18580-1,22018580-1
13 2665.,13002665.
22 51639.,22051639.
9  996.,0900 996.
16 40506.,16040506.
21 28988.,21028988.
22 81243.,22081243.
2  886.001,0200 886.001
15 8380.,15008380.
16 45245.,16045245.
17 12014-5,17012014-5
14 5474.,14005474.
1  9862-3,010 9862-3
2  333.,0200 333.
21 10154.,21010154.
1  1042.,010 1042.
22 81915.,22081915.
13 6210.,13006210.
4  168-79,0400 168-79
1  1682.,010 1682.
22 79258.,22079258.
20 13617.,20013617.
21 72717.,21072717.
13 11481.,13011481.
16 8740-5,16008740-5
16 516.,16000516.
1  2987.,010 2987.
22 97996.018,22097996.018
10 2117.,10002117.
22 15957-67,22015957-67
8  7969.,080 7969.
22 79454.,22079454.
21 40578.,21040578.
22 22703.,22022703.
14 442.,14000442.
21 28551.,21028551.
17 7562.,17007562.
22 65854.,22065854.
22 30.,22000030.
2  851.,0200 851.
1  4242.,010 4242.
1  4068-86,010 4068-86
19 2865.,19002865.
15 1247.,15001247.
9  18619.,09 18619.
21 23497.,21023497.
20 16254.,20016254.
20 10040.,20010040.
21 57837.,21057837.
6  2487.,060 2487.
22 2698-9,22002698-9
1  4267.,010 4267.
21 81192.,21081192.
20 3114.,20003114.
1  4159.081,010 4159.081
21 6612.,21006612.
13 5538.,13005538.
22 69714.,22069714.
17 16152-3,17016152-3
13 15383.,13015383.
21 2436.,21002436.
21 73137.,21073137.
22 92486.,22092486.
9  12197.,09 12197.
21 56395.,21056395.
22 81202.,22081202.
22 7454-60,22007454-60
18 14154.,18014154.
16 37099.,16037099.
17 6622.,17006622.
22 12872-81,22012872-81
1  3207-8,010 3207-8
2  2515.,020 2515.
16 34711.,16034711.
17 12711.,17012711.
22 35000.,22035000.
3  3183-95,030 3183-95
21 1522.,21001522.
21 21514.,21021514.
5  34-41,05000 34-41
16 34838.,16034838.
15 12723-5,15012723-5
16 30789.,16030789.
18 127-9,18000127-9
12 6036.,12006036.
21 30338.,21030338.
2  145.,0200 145.
21 69464.,21069464.
10 4013.,10004013.
16 35138.,16035138.
14 2992.,14002992.
16 45614.,16045614.
21 35550-1,21035550-1
14 9029.,14009029.
18 17086.,18017086.
22 74852.,22074852.
1  1.,010000 1.
22 80158.,22080158.
22 37378.,22037378.
21 73048.,21073048.
21 54733-40,21054733-40
22 125902.,22125902.
21 67533.,21067533.
21 15799.,21015799.
4  984.,0400 984.
18 12248.,18012248.
22 11325.003,22011325.003
22 102363.037,22102363.037
18 6520.,18006520.
13 131.,13000131.
21 76577-84,21076577-84
4  3322-38,040 3322-38
1  4036.,010 4036.
21 67468.,21067468.
1  4139.,010 4139.
18 6081.,18006081.
22 22677.,22022677.
14 8485.,14008485.
17 2919.,17002919.
10 2663.,10002663.
12 253.,12000253.
22 38896.,22038896.
22 118969-71,22118969-71
12 3596.,12003596.
22 66299.,22066299.
9  2548.,090 2548.
16 19970.,16019970.
22 19940.001,22019940.001
21 45543.,21045543.
22 106154.001,22106154.001
18 7330.,18007330.
2  5369.,020 5369.
21 15580.,21015580.
1  88-109,01000 88-109
21 55878-80,21055878-80
22 11615.,22011615.
18 5911.,18005911.
16 29401.,16029401.
11 114-34,11000114-34
1  4068-86,010 4068-86
7  11.,07000 11.
22 70341.011,22070341.011
22 37226.,22037226.
21 74587.,21074587.
22 114848-9,22114848-9
21 18619.,21018619.
21 53718.,21053718.
22 79914.,22079914.
17 40-5,17000040-5
20 15905.,20015905.
22 25055.,22025055.
21 25116.,21025116.
14 2148.,14002148.
8  162.,0800 162.
21 78038.,21078038.
4  3529.,040 3529.
5  100-99,0500 100-99
22 857-64,22000857-64
22 34211.,22034211.
22 107893.,22107893.
14 10316.,14010316.
22 72270.,22072270.
18 7787.,18007787.
20 7212.,20007212.
22 45664.,22045664.
21 11095.,21011095.
2  1732.027,020 1732.027
2  712.,0200 712.
1  226-31,0100 226-31
2  1861.001,020 1861.001
13 20239-40,13020239-40
13 2560.,13002560.
15 13250-2,15013250-2
16 21518.,16021518.
3  1317-24,030 1317-24
1  1027.,010 1027.
21 5886.,21005886.
19 4251.,19004251.
18 4878.,18004878.
10 8640-2,10008640-2
8  8505.,080 8505.
12 3171.,12003171.
9  1626.,090 1626.
22 19373-5,22019373-5
13 20904.,13020904.
2  3745.,020 3745.
21 47255.,21047255.
22 57451.,22057451.
14 6352.,14006352.
13 22555.,13022555.
21 21119-20,21021119-20
14 2926.,14002926.
2  1268-70,020 1268-70
22 53506.,22053506.
22 100470.,22100470.
21 57490.012,21057490.012
22 48914.,22048914.
21 11430.,21011430.
18 6752.,18006752.
22 93348.,22093348.
18 2459.,18002459.
20 1109.,20001109.
1  1565.,010 1565.
20 10638.,20010638.
10 5873.002L,10005873.002L
21 76284.,21076284.
1  4087-96,010 4087-96
19 4982.,19004982.
22 75416.,22075416.
22 100986.018,22100986.018
19 4860.,19004860.
22 27512.,22027512.
13 21561.,13021561.
22 30341.008L,22030341.008L
22 7317-9,22007317-9
21 28567.,21028567.
2  2438.,020 2438.
6  2736-45,060 2736-45
22 91912.,22091912.
21 39223.,21039223.
16 7996-7,16007996-7
21 24778.,21024778.
22 95064-5,22095064-5
6  3582.,060 3582.
22 39653-4,22039653-4
22 61937.,22061937.
1  1.,010000 1.
21 31671.,21031671.
22 32126.,22032126.
10 7982.001,10007982.001
21 7054.,21007054.
22 10991.,22010991.
10 7559.,10007559.
21 806.,21000806.
21 75532.003,21075532.003
4  2654.,040 2654.
13 5822.,13005822.
14 11416.,14011416.
10 2368.,10002368.
9  19425.,09 19425.
22 5250-61,22005250-61
12 7861.,12007861.
0,000000
16 17495-501,16017495-501
21 29776.,21029776.
22 62420.,22062420.
22 56544.,22056544.
9  9430.,090 9430.
2  1797.,020 1797.
13 6640.,13006640.
16 30282.,16030282.
16 22879.,16022879.
22 86596.,22086596.
18 7171.,18007171.
17 2212.,17002212.
22 97679.,22097679.
20 3228.,20003228.
22 122588-626,22122588-626
22 13666-70,22013666-70
8  6187.,080 6187.
1  1042.,010 1042.
3  3273-325,030 3273-325
21 70079.,21070079.
13 879-93,13000879-93
14 10331-2,14010331-2
22 39044.003,22039044.003
22 48027.002L,22048027.002L
2  3880.,020 3880.
1  4357.,010 4357.
22 49451.,22049451.
9  18617.,09 18617.
16 27643.,16027643.
21 68209.,21068209.
11 2172.,11002172.
21 79073.,21079073.
22 3643-4,22003643-4
1  5100.,010 5100.
11 1963.,11001963.
21 56180.,21056180.
5  100-99,0500 100-99
21 27638-9,21027638-9
16 41781.,16041781.
1  8195.,010 8195.
16 38430-5,16038430-5
16 29039.,16029039.
21 69655.,21069655.
22 27028.,22027028.
14 3061.,14003061.
16 26278.,16026278.
1  4087-97,010 4087-97
13 23513-4,13023513-4
2  1994.,020 1994.
22 13296-7,22013296-7
15 2863.,15002863.
22 50935-42,22050935-42
15 6767.,15006767.
22 122135.,22122135.
21 30297.,21030297.
16 43445.,16043445.
17 14873.,17014873.
18 3221.,18003221.
18 12522.,18012522.
21 9220.,21009220.
22 90713.,22090713.
16 41973.,16041973.
22 50419.004L,22050419.004L
2  2914.,020 2914.
15 2525.003,15002525.003
20 7839.,20007839.
16 4911.,16004911.
15 10747.,15010747.
22 69424-9,22069424-9
18 9249.,18009249.
22 94268.,22094268.
22 100385.,22100385.
21 9301.,21009301.
16 31769.,16031769.
21 62969.,21062969.
21 10568.,21010568.
21 5533.,21005533.
13 15942.,13015942.
16 5025.,16005025.
22 91422.,22091422.
12 4350.,12004350.
16 18562.,16018562.
12 11790.,12011790.
22 46467-8,22046467-8
22 6326.,22006326.
16 36064.,16036064.
16 18700.,16018700.
16 1662.,16001662.
20 14540.,20014540.
3  100-32,0300 100-32
9  8198-9,090 8198-9
21 74569.,21074569.
21 70139.,21070139.
22 47024.,22047024.
22 22774.,22022774.
22 30610.002,22030610.002
16 3005.,16003005.
16 34895.,16034895.
22 89422.,22089422.
18 5974.,18005974.
3  1206.,030 1206.
13 22987-8,13022987-8
3  3240-50,030 3240-50
13 21252.,13021252.
21 28744-5,21028744-5
21 32240.,21032240.
6  2690.,060 2690.
22 76767.,22076767.
16 20289.,16020289.
15 6234.,15006234.
21 3031-6,21003031-6
18 11988.,18011988.
22 74945.,22074945.
4  1594-600,040 1594-600
17 5616-7,17005616-7
16 35791.,16035791.
10 1290.,10001290.
21 74331.,21074331.
10 3555.,10003555.
22 123958.,22123958.
21 79820-1,21079820-1
13 12072.,13012072.
22 27149.,22027149.
20 15923.,20015923.
21 58159.,21058159.
1  4163.,010 4163.
22 125093.,22125093.
2  1842.,020 1842.
4  4012-5,040 4012-5
13 15942.,13015942.
20 2233.,20002233.
10 8756.,10008756.
17 15531.,17015531.
8  3231.,080 3231.
22 25572.,22025572.
16 19059.,16019059.
22 55985.,22055985.
13 15335.,13015335.
9  4727-8,090 4727-8
22 16625-9,22016625-9
2  188-91,0200 188-91
21 28249-52,21028249-52
22 36630.,22036630.
17 5698.,17005698.
1  4357.,010 4357.
21 60037.,21060037.
13 12577-8,13012577-8
16 9900.,16009900.
22 85152.,22085152.
21 5783.,21005783.
20 1590.,20001590.
7  829.001,0700 829.001
22 2317-8,22002317-8
21 13753.,21013753.
13 7878.,13007878.
22 43322.001,22043322.001
8  4571.,080 4571.
22 2721.,22002721.
21 63782.,21063782.
21 14319.,21014319.
22 109261.,22109261.
11 444-65,11000444-65
3  3183-95,030 3183-95
8  540-1,0800 540-1
21 29941.,21029941.
22 2205-14,22002205-14
17 16116.,17016116.
20 11156.,20011156.
16 13623.,16013623.
22 69084.,22069084.
22 101266.,22101266.
3  3326-40,030 3326-40
22 123181.,22123181.
20 7936.,20007936.
21 27802.,21027802.
21 6668.,21006668.
4  1594-600,040 1594-600
22 69300.,22069300.
21 74258.,21074258.
22 96491.,22096491.
22 91325.,22091325.
21 332-3,21000332-3
22 16091-2,22016091-2
15 13879-80,15013879-80
1  3850-67,010 3850-67
22 1841.,22001841.
22 113827.,22113827.
21 14727.,21014727.
16 13293.,16013293.
22 8258.,22008258.
9  24828.,09 24828.
8  1822.002L,080 1822.002L
1  4267.,010 4267.
22 97393.,22097393.
21 489.,21000489.
22 92123.,22092123.
19 5207.,19005207.
22 77854.,22077854.
22 7481.,22007481.
17 2307.002L,17002307.002L
16 35049.,16035049.
21 10579.,21010579.
22 24659.,22024659.
20 7950.,20007950.
17 7125.,17007125.
17 5511.,17005511.
20 16121.,20016121.
22 93135.,22093135.
19 4441.,19004441.
2  4677.,020 4677.
22 64705.,22064705.
14 2292.,14002292.
1  4357.,010 4357.
16 11511.,16011511.
3  3196-236,030 3196-236
22 121268.,22121268.
2  4891.,020 4891.
4  3423-37,040 3423-37
14 2587.,14002587.
21 34686.,21034686.
22 2317-8,22002317-8
17 7141.,17007141.
22 48166.,22048166.
4  2058.002L,040 2058.002L
21 39224.,21039224.
21 73933.,21073933.
13 2513.,13002513.
16 1952.,16001952.
15 4113-4,15004113-4
22 12785-91,22012785-91
16 37269.,16037269.
4  3165-89,040 3165-89
13 20841-2,13020841-2
21 72385.,21072385.
16 42765.,16042765.
21 17147.,21017147.
22 102095.,22102095.
9  19555.,09 19555.
1  4202.,010 4202.
22 91612.,22091612.
1  4207-8,010 4207-8
22 38316.,22038316.
22 80089.,22080089.
13 19895.,13019895.
22 113226.,22113226.
2  192.,0200 192.
22 32838.,22032838.
22 113571-2,22113571-2
22 118487.003L,22118487.003L
20 16213.,20016213.
21 80775.,21080775.
22 109920.,22109920.
20 1349.,20001349.
15 8676.,15008676.
21 27188.,21027188.
7  2762.,070 2762.
21 2851.,21002851.
3  3420-421B,030 3420-421B
18 8766.,18008766.
21 46461.,21046461.
21 24321-3,21024321-3
2  3484.,020 3484.
21 63.001,21000063.001
3  3183-95,030 3183-95
16 38724.,16038724.
22 44712.,22044712.
13 19186.,13019186.
22 86353.,22086353.
22 77366.,22077366.
22 53096.,22053096.
15 7335.,15007335.
21 52180.,21052180.
13 25149-54,13025149-54
18 12835.,18012835.
14 4981.,14004981.
22 97503.004,22097503.004
17 1175.,17001175.
22 72566.,22072566.
22 14257.,22014257.
2  2249.,020 2249.
16 40688-9,16040688-9
22 88458.,22088458.
13 10373.,13010373.
22 35056.,22035056.
22 100171.,22100171.
1  3205.,010 3205.
2  3258.,020 3258.
2  2012.,020 2012.
21 37914.,21037914.
22 57772.,22057772.
3  100-32,0300 100-32
3  193.002L,0300 193.002L
22 48820.,22048820.
1  4163.,010 4163.
22 74721.,22074721.
20 5834.,20005834.
20 5544.,20005544.
22 56021.,22056021.
6  267.,0600 267.
21 64411.,21064411.
17 4454-5,17004454-5
19 9813.,19009813.
18 1498.001,18001498.001
16 8508.,16008508.
22 82708.,22082708.
2  5736.,020 5736.
13 20182.,13020182.
9  22068-9,09 22068-9
16 32063.,16032063.
2  4213.,020 4213.
9  17326.,09 17326.
22 48411.,22048411.
22 106681.,22106681.
22 95164-6,22095164-6
8  9834.,080 9834.
2  5219.,020 5219.
22 90041.,22090041.
16 35417.,16035417.
20 16346-7,20016346-7
21 63890.,21063890.
12 3731.,12003731.
15 7334.,15007334.
6  6107.,060 6107.
18 1332-6,18001332-6
22 66164.,22066164.
22 36103-0,22036103-0
16 23547.,16023547.
2  2864.,020 2864.
22 83544.,22083544.
2  709.,0200 709.
21 27695.002L,21027695.002L
3  3407-15,030 3407-15
22 85708.,22085708.
18 15813.,18015813.
20 9459.,20009459.
22 85752.,22085752.
22 90208.,22090208.
17 7542.,17007542.
2  2125-6,020 2125-6
1  88-109,01000 88-109
2  5510.,020 5510.
1  4002.,010 4002.
5  4223.,050 4223.
22 32035.,22032035.
20 15850.,20015850.
21 16051.,21016051.
16 28768.,16028768.
16 17995.,16017995.
16 32331.,16032331.
21 75990.,21075990.
21 35758.,21035758.
22 2911.,22002911.
21 19695-6,21019695-6
2  3239.,020 3239.
14 11052.,14011052.
21 32289.,21032289.
19 16.002L,19000016.002L
22 29615-7,22029615-7
22 102108.,22102108.
6  6075.,060 6075.
22 89632.,22089632.
1  4043-9,010 4043-9
9  8316-21,090 8316-21
1  4105.,010 4105.
22 44922.,22044922.
9  6082.,090 6082.
22 23209.,22023209.
21 17439.,21017439.
21 31773.,21031773.
21 26461.,21026461.
3  3326-40,030 3326-40
3  100-32,0300 100-32
22 69276.,22069276.
22 92152.,22092152.
22 91893-5,22091893-5
20 8879-80,20008879-80
21 75281-2,21075281-2
22 80000.,22080000.
18 15984.,18015984.
21 76952-3,21076952-3
18 1506.,18001506.
22 96784-5,22096784-5
20 5414.,20005414.
22 59270.,22059270.
21 23440-1,21023440-1
18 14148.001,18014148.001
4  3402.,040 3402.
7  1493.,070 1493.
20 5311.,20005311.
21 70486.,21070486.
22 79605.,22079605.
1  6152.,010 6152.
17 12871.,17012871.
22 60979.,22060979.
16 36519.,16036519.
2  4908.,020 4908.
17 9293.,17009293.
22 105488.040,22105488.040
9  20011.,09 20011.
22 48875.,22048875.
16 34041.,16034041.
15 292.,15000292.
21 53641-4,21053641-4
22 42256.,22042256.
13 17981.,13017981.
22 27554.,22027554.
22 81173.,22081173.
21 24745.,21024745.
22 32912.,22032912.
22 117682.,22117682.
3  100-32,0300 100-32
16 2153-68,16002153-68
22 89320.,22089320.
22 77737.001,22077737.001
18 16021.,18016021.
3  1909.,030 1909.
